videoId,channelId,publishedAt,searchKey
:WxI6uqCDi14,UCOlCro5D_AGpsAb1e8N2ldA,2019-11-03,cocaine+ addict
:DqqY5_UTlcs,UChFcCe7axKBFE_NrKIM6Q8Q,2019-10-29,cocaine+ addict
:SPjlOB7xW1I,UCbObxjfi3W9YKnDS0PgadNA,2019-11-06,cocaine+ addict
:OS1gsRhXOJI,UCvvaTnrvOGihdlCy-yxpBiQ,2019-10-30,cocaine+ addict
:0WEGngYOI8s,UC6GfvPAmkeK4yfLsfC2AXbA,2019-11-05,cocaine+ addict
:y1Ycy6vgFrY,UCWj7O2SeVW-jGCVr5_kxLKw,2019-10-25,cocaine+ addict
:LiQ0G1S3_Es,UCuJVNFCzCfCYib5gDtuf24A,2019-11-03,cocaine+ addict
:iv0StsuAX4I,UCEacWFRTuN0UrWUYAhxoX7w,2019-11-06,cocaine+ addict
:KjO3N9muetI,UCkXl7Gruk2NBkpLfukFugrw,2019-11-04,cocaine+ addict
:QWMdc3jn9nM,UCCvcd0FYi58LwyTQP9LITpA,2019-10-28,cocaine+ addict
:gNb4g79EvkM,UClqPeq7eCZCwWB4d89h2qSQ,2019-11-05,cocaine+ addict
:B0NI1orrqMI,UCoadoxBn8EF9U8CkczFw-qg,2019-10-30,cocaine+ addict
:BuOiiL7Y4Ck,UC_xGi9VGsn6xgxigxyNoKxw,2019-10-26,cocaine+ addict
:zigKXutIBBg,UCN3WJ8DI0t6_cfceZL9ZN7Q,2019-10-28,cocaine+ addict
:dg7JhCOuxxw,UCSFLs1nwzqSC3Tq6cXhJkLg,2019-10-29,cocaine+ addict
:j0TFzDLMBtY,UCRCTq93p24P0FieBYFAjsoQ,2019-10-26,cocaine+ addict
:NHjMOPyYCgs,UCPzkZMlyS4t6dVGtwONPRrg,2019-11-04,cocaine+ addict
:OrC1DRgGlk0,UC1NLn_kYU02skbGwRWiL-Kw,2019-11-06,cocaine+ addict
:UYv5hl1yuRA,UCjpzEgbbDUg4YC6vpSrzsyg,2019-11-05,cocaine+ addict
:b_SgChSpKbk,UCnxGkOGNMqQEUMvroOWps6Q,2019-11-05,cocaine+ addict
:X4YxKuohgOg,UCRCTq93p24P0FieBYFAjsoQ,2019-11-01,cocaine+ addict
:0nRGnxYR-mI,UCT8PE1v0xFR9zLXOijxM6hg,2019-10-29,cocaine+ addict
:q2MsYgcIzfo,UCHzCXKL1Iy_YRc8NiJk-ngA,2019-11-01,cocaine+ addict
:6v4zW7VkVKU,UCybif3curwya4wh9z5hrYsA,2019-11-02,cocaine+ addict
:W1u7DKcLgME,UCNcMaWo7evcwxnQeErsFLmA,2019-11-01,cocaine+ addict
:eE2d9un3kFk,UCT8JJduVdOeK7malduOrMWA,2019-10-29,cocaine+ addict
:o3Ttt3WbuzY,UCR6QW6P-DWPv07-gpzGldQQ,2019-10-25,cocaine+ addict
:OlbpN8Uhk6M,UCsfScpTSlNOOn_dTvlxxrHQ,2019-11-04,cocaine+ addict
:x9BcMgfsQL8,UCaHacebFTVoKjd5NVFkX49w,2019-10-27,cocaine+ addict
:__z_FhVJpfc,UCYpeFsMP9WOlaKGT4vKArMg,2019-11-01,cocaine+ addict
:Jyys-yodA80,UCYLR1ghzYNyvfjw78raCuxA,2019-11-01,cocaine+ addict
:0zcKpRHuTNI,UCPtPUhm59KHpDPAut2juMHA,2019-10-28,cocaine+ addict
:A4j1GPkWhzI,UCkHUVjCwBJIRmV_8cFlx0qQ,2019-10-26,cocaine+ addict
:SnCYxLgYwe0,UCJkWMLSqRNKLoyUZQiNoAcQ,2019-11-06,cocaine+ addict
:3L8HMRRtQgU,UCZsmQchDbAl1CQVbDCwu_Aw,2019-10-28,cocaine+ addict
:eFlCDUCp-iE,UCP_EGjrTqt6eRgioc0yJCkw,2019-10-31,cocaine+ addict
:JGuys11exgo,UCFgP0IlJm08-Rw-9kgTIhaw,2019-10-25,cocaine+ addict
:blGksZNoWKw,UCnxGkOGNMqQEUMvroOWps6Q,2019-11-05,cocaine+ addict
:HoL-e3VcTIo,UCRCTq93p24P0FieBYFAjsoQ,2019-11-04,cocaine+ addict
:Cnhjk_58pTY,UCGRyY0QUPHBdl2EnPphB9WA,2019-10-31,cocaine+ addict
:j4Ohd_I6dWw,UCpXqJnHhegpqxSWQHToQsyQ,2019-11-03,cocaine+ addict
:vvyJ_WUFT20,UCTv9-tpTJdVT_DYWzhjDxdA,2019-11-04,cocaine+ addict
:B7y7dS6hf6A,UCzBg1I3H2rrCMXlenEA9WGg,2019-11-04,cocaine+ addict
:kYGXva8FvTI,UCDiahcJW5wo3ab59tR_8wlw,2019-11-04,cocaine+ addict
:VcCE27DuOTw,UCNNPor3gbmUJnhLP3PEgBEA,2019-10-26,cocaine+ addict
:8UWsDwor4f8,UCdEbsQAxe9eADxcgTYOHHhg,2019-11-03,cocaine+ addict
:x0kK_0vgDn4,UCjkkcF-sqjKARImaQ02E3JA,2019-10-28,cocaine+ addict
:b2rcGkYLEP8,UCPLaHiTFIhBRAflCMBG5XrQ,2019-10-29,cocaine+ addict
:iti8AHta1VA,UC9JDKLYbx9dKRLNbwtTKJ0g,2019-11-05,cocaine+ addict
:D7MezKlsLac,UCXT-Nw_LhyOfO251iC-ZQJw,2019-10-26,cocaine+ addict
:FaOM8z3AX5c,UCaCTxNiucFo7E7by64p-2CA,2019-10-31,cocaine+ addict
:e0Dcx_WNwmo,UCuJVNFCzCfCYib5gDtuf24A,2019-11-04,cocaine+ addict
:c8sGytMIFOE,UCnvEWpAjiK69LIbSAPjfi1A,2019-11-06,cocaine+ addict
:ZrvYl0YLFnc,UCxE0UJ9cfjUD_FLJkxKaH5w,2019-10-28,cocaine+ addict
:QvnChGH0L-w,UCIMiMsPhMRNcE8i1zn4XWNA,2019-10-31,cocaine+ addict
:pIFxRMkYj_Q,UCdmrOuM8JEfMkHCgU5BL7Mw,2019-11-03,cocaine+ addict
:7GrrP_QchCU,UCmWpt01PaFrcVwzykgcAFRA,2019-11-03,cocaine+ addict
:Zq8WuoXD5iw,UCBhTO1N7Me-gf49If9O-LyA,2019-10-28,cocaine+ addict
:2xWKx0aFBtg,UCHwHfy5GH0jvdVCfW2aJqjA,2019-11-05,cocaine+ addict
:-uVM6Ecdblg,UC8LwRzlDbxHTnLJfxvjpGbQ,2019-11-01,cocaine+ addict
:0cyGfFgk8HA,UCy213KPxa9zdHtqfuI5mVug,2019-11-03,cocaine+ addict
:Oe7fAFPGNAk,UCo4wYjUniSFrr18Cf5QB2Dg,2019-11-03,cocaine+ addict
:20rRarF8XXo,UC5jUYUH9SGD3VJztbaodpXA,2019-11-06,cocaine+ addict
:zFY67TGhXJ8,UCoUkDF0gwpiRiWZSF_qgVvQ,2019-11-04,cocaine+ addict
:5NjzZmqAsV0,UC802RTMVaVWgAoOVmtRR7bw,2019-11-03,cocaine+ addict
:6crReafqeTc,UCXzHt1Kg3C4zo3adCu-rbxQ,2019-11-06,cocaine+ addict
:lJmPrgxVe7k,UCEQumzzbW2mrcMxKwEo7diw,2019-10-30,cocaine+ addict
:yOi0jpd910w,UC4h_d6JUERqkF0s_6bg82YA,2019-11-03,cocaine+ addict
:hMp-EbfwaEw,UCn8zNIfYAQNdrFRrr8oibKw,2019-10-28,cocaine+ addict
:KpWQKMNHRdM,UCoMdktPbSTixAyNGwb-UYkQ,2019-11-03,cocaine+ addict
:0LWCto4Fs8A,UCd-uFWZOWDG0OW3I2mSSehg,2019-10-27,cocaine+ addict
:ePttX6S7RN8,UC_xGi9VGsn6xgxigxyNoKxw,2019-10-25,cocaine+ addict
:4G4s1yjx_xM,UCRCTq93p24P0FieBYFAjsoQ,2019-11-06,cocaine+ addict
:0r-lvy0aCXg,UCADaBeM0qiKEZIw9_OuYmuA,2019-10-25,cocaine+ addict
:fzVd8E92xlw,UCMi38pytm6Ca2KXc7ftlu_w,2019-10-29,cocaine+ addict
:c2wVg-4AyCc,UCKsB-7GbYDSx08m3vdBt1jg,2019-10-27,cocaine+ addict
:Irc5nz3y0uk,UCNNTZgxNQuBrhbO0VrG8woA,2019-11-01,cocaine+ addict
:xDSs-MQ5sDc,UCBH2_LeMEWzHdjgOtELwuEg,2019-10-28,cocaine+ addict
:eQboAFYu2rE,UCsXOYGdsop1G3EQ9aFWehYg,2019-11-06,cocaine+ addict
:jKIEMHESiSg,UCaccx89LbpXYV9biInO1OUA,2019-11-06,cocaine+ addict
:TEBPNdLOu3g,UC7CVOVMI29GeVWTCOqd3P1Q,2019-10-31,cocaine+ addict
:uZMwOKeuJqk,UCCvcd0FYi58LwyTQP9LITpA,2019-10-27,cocaine+ addict
:-dYXAl83h5g,UClyj3uTpwDv_f6dvkUYntHg,2019-10-31,cocaine+ addict
